window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_only,-0.019547,0.15,0.2,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019556,0.1,0.15,0.35,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.06,0.05
8,PB_FED,-0.019567,0.1,0.25,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.019574,0.1,0.25,0.45,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.019586,0.1,0.2,0.4,0.7,0.65,0.8,0.95,-0.5,0.0,0.0,0.1,0.04
8,PB_only,-0.019592,0.1,0.2,0.35,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019604,0.05,0.15,0.35,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.019604,0.1,0.25,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.019608,0.1,0.2,0.3,0.65,0.65,0.8,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.019616,0.15,0.2,0.35,0.7,0.7,0.85,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.019636,0.05,0.2,0.45,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019636,0.15,0.25,0.4,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.01965,0.15,0.2,0.4,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.019664,0.15,0.2,0.4,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.019667,0.15,0.25,0.4,0.65,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.03
8,PB_only,-0.019668,0.15,0.2,0.45,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.019701,0.15,0.2,0.45,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.019703,0.15,0.2,0.4,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_FED,-0.019718,0.15,0.2,0.4,0.7,0.65,0.8,0.95,-0.5,0.0,0.0,0.1,0.04
8,PB_only,-0.019725,0.05,0.15,0.35,0.65,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.019732,0.1,0.15,0.35,0.65,0.7,0.8,0.95,-0.5,0.0,0.0,0.08,0.04
8,PB_FED,-0.019738,0.1,0.25,0.3,0.65,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.01974,0.05,0.25,0.4,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.019742,0.15,0.2,0.3,0.7,0.65,0.85,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_FED,-0.019748,0.05,0.2,0.35,0.7,0.7,0.85,0.95,-0.5,0.0,0.0,0.12,0.05
8,PB_FED,-0.019761,0.05,0.15,0.3,0.6,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019765,0.1,0.2,0.35,0.7,0.7,0.85,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_FED,-0.019765,0.15,0.25,0.35,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.04
8,PB_FED,-0.019785,0.15,0.2,0.3,0.65,0.75,0.8,0.9,-0.5,0.0,0.0,0.12,0.05
8,PB_FED,-0.019792,0.1,0.25,0.3,0.65,0.65,0.75,0.9,-0.5,0.0,0.0,0.12,0.05
8,PB_FED,-0.019823,0.15,0.2,0.3,0.65,0.75,0.85,0.9,0.0,0.0,0.0,0.06,0.05
8,PB_only,-0.019839,0.05,0.2,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.01985,0.15,0.2,0.4,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.06,0.05
8,PB_only,-0.019861,0.05,0.2,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.1,0.05
8,PB_FED,-0.01987,0.1,0.2,0.3,0.65,0.75,0.85,0.95,-0.5,0.0,0.0,0.06,0.03
