he,ex,dt,heavy_ratio,extreme_ratio,000300_xirr,000300_return,000300_trades,000300_buys,000300_sells,000905_xirr,000905_return,000905_trades,000905_buys,000905_sells,000852_xirr,000852_return,000852_trades,000852_buys,000852_sells,000016_xirr,000016_return,000016_trades,000016_buys,000016_sells,399006_xirr,399006_return,399006_trades,399006_buys,399006_sells,399330_xirr,399330_return,399330_trades,399330_buys,399330_sells,avg_xirr,n_indices
0.8,0.95,0.03,0.2,0.35,0.1165,0.254431,331,314,17,0.1153,0.296334,303,285,18,0.1726,0.399963,265,240,25,0.1467,0.216737,311,284,27,0.2319,0.693485,276,249,27,0.1991,0.35287,307,271,36,0.163683,6
0.75,0.85,0.04,0.25,0.35,0.1169,0.244222,328,312,16,0.1137,0.25929,301,285,16,0.1714,0.366696,258,236,22,0.1492,0.196241,303,278,25,0.2339,0.68047,269,249,20,0.1969,0.351727,291,267,24,0.163667,6
0.75,0.85,0.04,0.25,0.5,0.1175,0.242019,328,312,16,0.1119,0.247979,301,285,16,0.1738,0.366369,258,236,22,0.1524,0.194001,303,278,25,0.2317,0.670322,269,249,20,0.1943,0.344149,291,267,24,0.1636,6
0.75,0.95,0.03,0.25,0.5,0.117,0.241992,331,312,19,0.1159,0.258923,304,285,19,0.178,0.377639,266,236,30,0.1586,0.199108,307,278,29,0.2145,0.633977,278,249,29,0.1964,0.33389,305,267,38,0.1634,6
0.8,0.95,0.03,0.2,0.25,0.1165,0.254431,331,314,17,0.1138,0.292982,303,285,18,0.1726,0.399963,265,240,25,0.1439,0.214927,311,284,27,0.2328,0.698801,276,249,27,0.2008,0.35757,307,271,36,0.1634,6
0.75,0.85,0.03,0.25,0.5,0.1169,0.239178,329,312,17,0.1122,0.248762,301,285,16,0.1789,0.37838,260,236,24,0.1538,0.19267,306,278,28,0.2244,0.655817,271,249,22,0.1938,0.342733,294,267,27,0.163333,6
0.75,0.9,0.04,0.25,0.5,0.1199,0.246468,330,312,18,0.1149,0.258776,301,285,16,0.1777,0.375944,263,236,27,0.1557,0.197933,306,278,28,0.2149,0.634905,275,249,26,0.1968,0.333909,297,267,30,0.163317,6
0.8,0.9,0.04,0.2,0.5,0.1207,0.260315,330,314,16,0.1122,0.288445,300,285,15,0.1746,0.394669,262,240,22,0.1458,0.2161,310,284,26,0.2301,0.687289,273,249,24,0.1959,0.3453,299,271,28,0.163217,6
0.75,0.85,0.05,0.25,0.5,0.1172,0.242247,327,312,15,0.1111,0.245831,301,285,16,0.1733,0.366205,258,236,22,0.1511,0.207536,301,279,22,0.231,0.669759,268,249,19,0.1951,0.345602,289,267,22,0.163133,6
0.75,0.95,0.03,0.25,0.35,0.117,0.241992,331,312,19,0.1147,0.256944,304,285,19,0.178,0.377639,266,236,30,0.1568,0.198119,307,278,29,0.2153,0.636348,278,249,29,0.1967,0.334685,305,267,38,0.163083,6
